date,p(t)
2012-09,0.05917993694125162
2012-10,-0.03602389329117301
2012-11,0.02784949569643188
2012-12,0.04951427630285159
2013-01,-0.011298379559462548
2013-02,0.0498545833817698
2013-03,-0.006499039836822026
2013-04,-0.019539338370224084
2013-05,0.03240086031597071
2013-06,-0.06382189320635898
2013-07,0.03377903647445687
2013-08,0.02508636974609191
2013-09,0.0462323521622839
2013-10,0.032331295274232494
2013-11,0.01916185418305784
2013-12,-0.010851799934463469
2014-01,-0.033802020890099996
2014-02,0.0314667064402179
2014-03,0.008225587245075609
2014-04,-0.0019070657536192604
2014-05,0.027042838385618554
2014-06,0.01111033078146241
2014-07,0.043700717940845374
2014-08,-0.007573166468901344
2014-09,-0.024095818073923525
2014-10,-0.015489099485921228
2014-11,0.022442349437678845
2014-12,-0.028872703652607978
2015-01,0.03352704363859858
2015-02,0.015629456138946743
2015-03,0.03233933607730838
2015-04,0.044556190920398184
2015-05,-0.011835520544003313
2015-06,-0.0202381483543914
2015-07,-0.020362178419946874
2015-08,-0.035444300382043936
2015-09,0.029000579896907203
2015-10,0.06584472902848769
2015-11,-0.009188802440426021
2015-12,-0.004073488645048641
2016-01,-0.022676419627256843
2016-02,0.023326220379146924
2016-03,0.060260639197886115
2016-04,0.00882535108056065
2016-05,0.009045327623708563
2016-06,0.01779538234207606
2016-07,0.04592661812894242
2016-08,0.037134619055193316
2016-09,0.017698848477180434
2016-10,0.008345333216823946
2016-11,0.007832151467197998
2016-12,0.03689922238391148
2017-01,0.04512542286835116
2017-02,0.021010366419237425
2017-03,0.05281586962156552
2017-04,0.036501026225769645
2017-05,0.07484465643605737
2017-06,0.036581529523746915
2017-07,0.022120516422889504
2017-08,-0.007296274634456611
2017-09,0.03905501524588039
2017-10,0.06749344265448304
2017-11,-0.013157345234883213
2017-12,0.01052148360235719
2018-01,0.03852693739607065
2018-02,-0.050414826474293545
2018-03,0.017526009876622135
2018-04,0.04025524260195158
2018-05,-0.025155183685663614
2018-06,-0.021692395793130037
2018-07,0.007957099546152185
2018-08,0.02422118087073459
2018-09,0.01656566551138067
2018-10,-0.10617174054108017
2018-11,0.045272147109326796
2018-12,-0.017434164363368355
2019-01,0.10921105275211836
2019-02,0.00881593337180976
2019-03,-0.009626328400281861
2019-04,0.047189722222222216
2019-05,-0.0548931832327204
2019-06,0.07212659381434189
2019-07,-0.02040097297297306
2019-08,-0.006813254111286233
2019-09,0.0780027091377092
2019-10,0.028751720587339238
2019-11,0.02377299941991146
2019-12,0.0816694598598165
2020-01,-0.012335549068999592
2020-02,-0.03821034887943858
